Dataset     	Date                       	Time(min)            	Distance  	Algorithm     	Index      	Optimizer 	SS      	DBS      	CHS     	SSE     	CVS    	NMI  	ARI  	CA   	Clusters
dataset.txt 	2025-02-03 15:53:29.200661 	0.09441349903742473  	euclidean 	kmeans        	silhouette 	default   	0.3771  	296.4981 	 0.7513 	29.2172 	0.0078 	-1.0 	-1.0 	-1.0 	33:28:31:4:15:40:34:19:29:5:3:3:24:31:16
dataset.txt 	2025-02-03 15:53:35.340159 	0.07819683949152628  	euclidean 	kmeans        	ch_score   	default   	0.3566  	265.1288 	 0.8437 	26.5878 	0.0167 	-1.0 	-1.0 	-1.0 	33:46:41:8:24:65:17:25:41:7:8
dataset.txt 	2025-02-03 15:53:42.728582 	0.10008300940195719  	euclidean 	kmeans        	db_score   	default   	0.3729  	315.0276 	 0.7687 	31.5522 	0.0044 	-1.0 	-1.0 	-1.0 	18:22:26:4:15:26:13:19:24:5:3:3:25:22:16:20:26:28
dataset.txt 	2025-02-03 15:53:48.235121 	0.06789720853169759  	euclidean 	kmeans        	sse        	default   	0.4084  	306.3324 	 0.889  	10.0426 	0.0016 	-1.0 	-1.0 	-1.0 	157:158
dataset.txt 	2025-02-03 15:53:54.821742 	0.0866628646850586   	euclidean 	agglomerative 	silhouette 	default   	0.3343  	276.5236 	 0.7382 	32.9877 	0.0062 	-1.0 	-1.0 	-1.0 	18:7:18:14:30:5:41:25:10:26:12:3:2:2:9:9:22:30:18:14
dataset.txt 	2025-02-03 15:54:01.608510 	0.08954106171925863  	euclidean 	agglomerative 	ch_score   	default   	0.3109  	222.4061 	 0.7988 	30.0609 	0.0091 	-1.0 	-1.0 	-1.0 	48:42:18:7:48:5:41:25:14:24:18:3:2:2:9:9
dataset.txt 	2025-02-03 15:54:07.890408 	0.08233789205551148  	euclidean 	agglomerative 	db_score   	default   	0.3323  	268.4407 	 0.725  	34.2589 	0.0056 	-1.0 	-1.0 	-1.0 	14:25:18:10:30:5:41:12:30:26:12:3:2:2:9:9:22:4:18:14:6:3
dataset.txt 	2025-02-03 15:54:15.599807 	0.10522385040918986  	euclidean 	agglomerative 	sse        	default   	0.3546  	182.4232 	 0.8687 	15.0458 	0.1608 	-1.0 	-1.0 	-1.0 	161:145:9
dataset.txt 	2025-02-03 15:54:41.184742 	0.20021575689315796  	euclidean 	spectral      	silhouette 	default   	-0.5124 	  0.6207 	 1.3168 	 6.9844 	0.1218 	-1.0 	-1.0 	-1.0 	308:1:1:1:1:1:1:1
dataset.txt 	2025-02-03 15:54:55.578076 	0.21582884391148885  	euclidean 	spectral      	ch_score   	default   	-0.6608 	  0.3884 	 1.6614 	 7.134  	0.0385 	-1.0 	-1.0 	-1.0 	1:1:1:1:1:292:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
dataset.txt 	2025-02-03 15:55:10.976749 	0.23325453201929727  	euclidean 	spectral      	db_score   	default   	-0.6585 	  0.4925 	 1.4694 	 7.0576 	0.0495 	-1.0 	-1.0 	-1.0 	297:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
dataset.txt 	2025-02-03 15:55:24.204075 	0.19698427120844522  	euclidean 	spectral      	sse        	default   	-0.5146 	  0.6895 	 1.2403 	 6.9739 	0.1397 	-1.0 	-1.0 	-1.0 	309:1:1:1:1:1:1
dataset.txt 	2025-02-03 15:55:31.171862 	0.09214239517847697  	manhattan 	kmeans        	silhouette 	default   	0.377   	296.4981 	 0.7513 	29.2172 	0.0078 	-1.0 	-1.0 	-1.0 	33:28:31:4:15:40:34:19:29:5:3:3:24:31:16
dataset.txt 	2025-02-03 15:55:37.129967 	0.07401878039042155  	manhattan 	kmeans        	ch_score   	default   	0.3532  	265.1288 	 0.8437 	26.5878 	0.0167 	-1.0 	-1.0 	-1.0 	33:46:41:8:24:65:17:25:41:7:8
dataset.txt 	2025-02-03 15:55:44.535198 	0.10049568017323812  	manhattan 	kmeans        	db_score   	default   	0.3743  	315.0276 	 0.7687 	31.5522 	0.0044 	-1.0 	-1.0 	-1.0 	18:22:26:4:15:26:13:19:24:5:3:3:25:22:16:20:26:28
dataset.txt 	2025-02-03 15:55:49.795271 	0.06317206621170043  	manhattan 	kmeans        	sse        	default   	0.3964  	306.3324 	 0.889  	10.0426 	0.0016 	-1.0 	-1.0 	-1.0 	157:158
