Dataset     	Date                       	Time(min)             	Distance  	Algorithm     	Index      	Optimizer 	SS      	DBS      	CHS     	SSE    	CVS    	NMI  	ARI  	CA   	Clusters
dataset.txt 	2025-02-06 18:17:43.820995 	0.00446629524230957   	euclidean 	kmeans        	silhouette 	default   	0.4789  	364.2258 	 0.75   	0.3866 	0.0434 	-1.0 	-1.0 	-1.0 	88:98:129
dataset.txt 	2025-02-06 18:17:45.612219 	0.006522440910339355  	euclidean 	kmeans        	ch_score   	default   	0.3637  	325.2605 	 0.8472 	0.7885 	0.0136 	-1.0 	-1.0 	-1.0 	31:58:28:41:26:25:21:11:27:24:23
dataset.txt 	2025-02-06 18:17:47.529343 	0.008957167466481527  	euclidean 	kmeans        	db_score   	default   	0.3624  	341.6747 	 0.7924 	0.9322 	0.0052 	-1.0 	-1.0 	-1.0 	24:12:10:19:9:18:26:15:13:35:17:14:20:22:29:32
dataset.txt 	2025-02-06 18:17:50.118330 	0.02042060693105062   	euclidean 	kmeans        	sse        	default   	0.4268  	264.1643 	 0.8966 	0.3237 	0.081  	-1.0 	-1.0 	-1.0 	132:183
dataset.txt 	2025-02-06 18:17:51.473214 	0.0007953842480977377 	euclidean 	agglomerative 	silhouette 	default   	0.3149  	265.3584 	 0.7833 	0.8902 	0.0116 	-1.0 	-1.0 	-1.0 	17:40:33:28:28:7:6:15:40:53:2:12:16:18
dataset.txt 	2025-02-06 18:17:52.830354 	0.0008137345314025879 	euclidean 	agglomerative 	ch_score   	default   	0.2737  	234.8691 	 0.8101 	0.638  	0.0413 	-1.0 	-1.0 	-1.0 	49:85:97:17:28:33:6
dataset.txt 	2025-02-06 18:17:54.293918 	0.0013497829437255859 	euclidean 	agglomerative 	db_score   	default   	0.3094  	254.0601 	 0.7816 	0.9262 	0.0108 	-1.0 	-1.0 	-1.0 	40:28:33:28:14:7:6:15:40:53:2:12:16:18:3
dataset.txt 	2025-02-06 18:17:56.843624 	0.019458266099294026  	euclidean 	agglomerative 	sse        	default   	0.3545  	147.3267 	 0.8119 	0.3337 	0.3444 	-1.0 	-1.0 	-1.0 	266:49
dataset.txt 	2025-02-06 18:17:58.314360 	0.0009002486864725748 	euclidean 	dbscan        	silhouette 	default   	0.3615  	 12.3821 	 1.1246 	0.516  	0.4873 	-1.0 	-1.0 	-1.0 	4:311
dataset.txt 	2025-02-06 18:18:03.352657 	0.017785894870758056  	euclidean 	dbscan        	sse        	default   	0.2304  	  2.5997 	 0.5709 	0.2426 	0.4968 	-1.0 	-1.0 	-1.0 	1:314
