LINK,ID da resposta,Data de envio,Última página,Idioma inicial,Semente,Código de Acesso,Data de início,Data da última ação,GENERO,IDADE,RENDA,ESCOLARIDADE,COMP/CEL,TEM INSTA?,Com qual frequência acessa o aplicativo? [Eventualmente],Com qual frequência acessa o aplicativo? [Até 1 vez por semana],Com qual frequência acessa o aplicativo? [Mais de uma vez por semana],Com qual frequência acessa o aplicativo? [Pelo menos uma vez por dia],Com qual frequência acessa o aplicativo? [Mais de uma vez por dia],"Você segue algum perfil de espaço cultural (Ex.: Teatro, Cinema, Casa de Show, Museu, Galeria de Arte, etc...) no Instagram?","Se você segue algum perfil de espaço cultural no Instagram, por favor, se puder, insira aqui o nome do perfil que considera acompanhar com maior frequência.",CON1,CON2,CON3,CON4,CON5,CON6,CON7,INT1,INT2,INT3,INT4,INF1,INF2,INF3,INF4,INF5,INF6,INF7,INC1,INC2,INC3,INC4,ENG1,ENG2,ENG3,ENG4,ENG5,ENG6,ENG7,ENG8,ENG9,ENG10,ENT1,ENT2,ENT3,ENT4,COM1,COM2,COM3,CONF1,CONF2,CONF3,CONF4,ENV1,ENV2,ENV3,ENV4,ENV5,ENV6,ENV7,ENV8,ENV9,ENV10,0
INT,568,2021-06-20 15:00:50,7,pt-BR,1767601499,uB3EaV9IXANbGvm,2021-06-20 14:55:17,2021-06-20 15:00:49,Feminino,30,Acima de 3 e até 5 salários mínimos,Mestrado/Doutorado,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Coletivo das Artes Motirô,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,1,7,1,5,7,5,1,6,7,5,0
EXT,167,2021-05-21 22:10:05,7,pt-BR,1839169195,2021-05-21 21:59:31,2021-05-21 22:10:05,,Feminino,35,Acima de 5 e até 10 salários mínimos,Pós-Graduação,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Teatro mágico,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,5,1,3,3,4,1,4,4,4,3,3,3,4
INT,489,2021-06-20 11:19:30,7,pt-BR,258990084,BgKQgz43AnBGl68,2021-06-20 11:13:00,2021-06-20 11:19:30,Feminino,29,Até 1 salário mínimo,Ensino Superior,Celular,Sim,Sim,Não,Não,Não,Não,Sim,Cineritz,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,7,1,1,1,1,1,1,1,1,7,4,1,1,1,1,7,1,7,1,7,7,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,4
INT,536,2021-06-20 13:19:52,7,pt-BR,1424695604,wDN4DUIbrCgBWaG,2021-06-20 13:05:17,2021-06-20 13:19:52,Feminino,28,Até 1 salário mínimo,Ensino Médio,Celular,Sim,Não,Não,Não,Não,Sim,Sim,,1,1,1,1,1,3,4,7,1,1,7,7,1,2,1,2,3,1,1,1,1,1,1,1,1,1,3,2,1,3,2,1,3,1,3,1,1,1,1,3,1,5,7,1,6,4,5,3,5,5,7,1,7,4
INT,486,2021-06-20 11:07:55,7,pt-BR,667378996,8vgAKmEjIZKMDvf,2021-06-20 11:03:18,2021-06-20 11:07:55,Masculino,36,Acima de 3 e até 5 salários mínimos,Ensino Superior,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,,1,1,1,1,1,4,5,4,1,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,4,7,5,6,7,7,2
EXT,108,2021-05-18 22:39:21,7,pt-BR,744286869,2021-05-18 22:33:15,2021-05-18 22:39:21,,Feminino,39,Acima de 10 e até 15 salários mínimos,Ensino Superior,Celular,Sim,Não,Não,Não,Não,Sim,Sim,Mathias Brotas,1,1,1,1,1,7,1,1,1,1,1,6,1,5,4,5,5,5,6,7,7,4,4,5,3,3,6,5,5,6,4,6,5,3,4,5,5,6,6,1,6,1,1,5,4,5,5,3,5,6,5,5,5,2
INT,769,2021-06-21 08:02:46,7,pt-BR,125055136,7ZbMa2YTGau9IcO,2021-06-21 07:56:15,2021-06-21 08:02:46,Feminino,34,Até 1 salário mínimo,Ensino Médio,Computador/Notebook,Sim,Não,Não,Não,Sim,Não,Sim,São muitos.,1,1,2,1,1,2,2,1,1,1,1,6,5,6,3,7,4,4,1,1,1,2,4,2,5,1,1,3,3,2,4,2,3,2,3,3,2,5,2,4,2,5,5,4,3,5,3,4,4,4,5,4,5,4
INT,184,2021-06-18 16:18:30,7,pt-BR,1766429485,o0a8BwHgB6qWLVj,2021-06-18 16:14:21,2021-06-18 16:18:30,Feminino,42,Acima de 15 e até 20 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"MAR (Museu de Arte do Rio), Estação Net, Cinema Itaú, CCBB RJ, MAM RJ",1,1,2,1,1,2,2,2,2,1,2,7,7,5,5,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,1,2,1,1,1,1,1,1,1,1,7,1,6,1,1,1,1,5,1,6,4
INT,59,2021-04-14 09:49:18,7,pt-BR,1628460204,nT6Gq9uchqEzgWa,2021-04-14 09:42:57,2021-04-14 09:49:18,Masculino,45,Acima de 5 e até 10 salários mínimos,Mestrado/Doutorado,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,"Itaú Cultural, MASP",1,1,4,1,4,1,1,1,4,1,1,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,1,5,5,1,1,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2
INT,57,2021-04-14 09:40:29,7,pt-BR,136910635,3Za6oKQa09zKFnk,2021-04-14 09:26:04,2021-04-14 09:40:29,Feminino,56,Acima de 1 e até 3 salários mínimos,Pós-Graduação,Computador/Notebook,Sim,Não,Não,Não,Não,Sim,Sim,Clube do samba,1,1,7,1,1,7,7,7,4,7,1,1,3,1,1,2,2,1,1,1,1,1,4,1,4,3,3,7,1,1,1,5,4,1,7,5,1,7,1,7,1,7,7,4,5,5,1,4,1,4,3,4,4,4
