Dataset	Date	Time(min)	Distance	Algorithm	Index	Optimizer	SS	DBS	CHS	SSE	CVS	NMI	ARI	CA	Clusters
dataset.txt	2025-02-06 15:03:16.848755	0.008523893356323243	euclidean	kmeans	silhouette	default	0.3757	310.813	0.8155	30.2746	0.0056	-1.0	-1.0	-1.0	16:24:30:5:21:31:26:20:25:30:15:26:7:3:23:13
dataset.txt	2025-02-06 15:03:18.517169	0.005584235986073812	euclidean	kmeans	ch_score	default	0.3514	289.9327	0.8451	19.7032	0.0186	-1.0	-1.0	-1.0	54:50:36:44:62:48:21
dataset.txt	2025-02-06 15:03:20.313489	0.007428216934204102	euclidean	kmeans	db_score	default	0.3681	300.8544	0.7612	26.13	0.0127	-1.0	-1.0	-1.0	21:35:49:26:23:33:43:5:33:18:29
dataset.txt	2025-02-06 15:03:22.864295	0.019973289966583253	euclidean	kmeans	sse	default	0.41	306.9928	0.8857	10.0467	0.0429	-1.0	-1.0	-1.0	171:144
dataset.txt	2025-02-06 15:03:24.288340	0.0008304079373677571	euclidean	agglomerative	silhouette	default	0.3343	276.5575	0.7383	32.9897	0.0062	-1.0	-1.0	-1.0	18:7:18:14:30:5:41:25:10:26:12:3:2:2:9:9:22:30:18:14
dataset.txt	2025-02-06 15:03:25.699453	0.0007895191510518391	euclidean	agglomerative	ch_score	default	0.3109	222.43	0.7989	30.0623	0.0091	-1.0	-1.0	-1.0	48:42:18:7:48:5:41:25:14:24:18:3:2:2:9:9
dataset.txt	2025-02-06 15:03:27.153041	0.0018134315808614094	euclidean	agglomerative	db_score	default	0.3324	268.4804	0.7251	34.2625	0.0056	-1.0	-1.0	-1.0	14:25:18:10:30:5:41:12:30:26:12:3:2:2:9:9:22:4:18:14:6:3
dataset.txt	2025-02-06 15:03:29.552499	0.018316328525543213	euclidean	agglomerative	sse	default	0.3546	182.4285	0.8687	15.0442	0.1608	-1.0	-1.0	-1.0	161:145:9
dataset.txt	2025-02-06 15:03:44.146946	0.12131621837615966	euclidean	spectral	silhouette	default	-0.5123	0.6208	1.3168	6.984	0.1218	-1.0	-1.0	-1.0	308:1:1:1:1:1:1:1
dataset.txt	2025-02-06 15:03:52.974132	0.12338691552480062	euclidean	spectral	ch_score	default	-0.6608	0.3884	1.6614	7.1336	0.0385	-1.0	-1.0	-1.0	292:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
