Dataset     	Date                       	Time(min)             	Distance  	Algorithm     	Index      	Optimizer 	SS      	DBS      	CHS     	SSE     	CVS    	NMI  	ARI  	CA   	Clusters
dataset.txt 	2025-02-11 10:05:54.441033 	0.00961851676305135   	euclidean 	kmeans        	silhouette 	default   	0.3757  	310.8057 	 0.8156 	30.2761 	0.0056 	-1.0 	-1.0 	-1.0 	16:24:30:5:21:31:26:20:25:30:15:26:7:3:23:13
dataset.txt 	2025-02-11 10:05:56.077909 	0.005455474058787028  	euclidean 	kmeans        	ch_score   	default   	0.3514  	289.9283 	 0.8451 	19.7034 	0.0186 	-1.0 	-1.0 	-1.0 	54:50:36:44:62:48:21
dataset.txt 	2025-02-11 10:05:57.969732 	0.007148059209187826  	euclidean 	kmeans        	db_score   	default   	0.3681  	300.8737 	 0.7612 	26.13   	0.0127 	-1.0 	-1.0 	-1.0 	21:35:49:26:23:33:43:5:33:18:29
dataset.txt 	2025-02-11 10:06:00.662415 	0.02167398532231649   	euclidean 	kmeans        	sse        	default   	0.41    	306.9843 	 0.8857 	10.0469 	0.0429 	-1.0 	-1.0 	-1.0 	171:144
dataset.txt 	2025-02-11 10:06:02.084989 	0.0008912563323974609 	euclidean 	agglomerative 	silhouette 	default   	0.3343  	276.529  	 0.7383 	32.9883 	0.0062 	-1.0 	-1.0 	-1.0 	18:7:18:14:30:5:41:25:10:26:12:3:2:2:9:9:22:30:18:14
dataset.txt 	2025-02-11 10:06:03.441646 	0.0006914337476094564 	euclidean 	agglomerative 	ch_score   	default   	0.3109  	222.4081 	 0.7989 	30.0611 	0.0091 	-1.0 	-1.0 	-1.0 	48:42:18:7:48:5:41:25:14:24:18:3:2:2:9:9
dataset.txt 	2025-02-11 10:06:04.911381 	0.0018790483474731446 	euclidean 	agglomerative 	db_score   	default   	0.3323  	268.4564 	 0.7252 	34.2626 	0.0056 	-1.0 	-1.0 	-1.0 	14:25:18:10:30:5:41:12:30:26:12:3:2:2:9:9:22:4:18:14:6:3
dataset.txt 	2025-02-11 10:06:07.475622 	0.01867371400197347   	euclidean 	agglomerative 	sse        	default   	0.3546  	182.4211 	 0.8687 	15.0447 	0.1608 	-1.0 	-1.0 	-1.0 	161:145:9
dataset.txt 	2025-02-11 10:06:22.215060 	0.12365008989969889   	euclidean 	spectral      	silhouette 	default   	-0.5123 	  0.6208 	 1.3168 	 6.984  	0.1218 	-1.0 	-1.0 	-1.0 	308:1:1:1:1:1:1:1
dataset.txt 	2025-02-11 10:06:32.387651 	0.14698890050252278   	euclidean 	spectral      	ch_score   	default   	-0.6963 	  0.6295 	 1.4334 	 7.0246 	0.0524 	-1.0 	-1.0 	-1.0 	298:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
dataset.txt 	2025-02-11 10:06:41.085572 	0.12259000142415365   	euclidean 	spectral      	db_score   	default   	-0.6561 	  0.4684 	 1.4954 	 7.0699 	0.0468 	-1.0 	-1.0 	-1.0 	1:1:296:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1
dataset.txt 	2025-02-11 10:06:50.842849 	0.1403894821802775    	euclidean 	spectral      	sse        	default   	-0.5145 	  0.6897 	 1.2403 	 6.9736 	0.1397 	-1.0 	-1.0 	-1.0 	1:309:1:1:1:1:1
dataset.txt 	2025-02-11 10:06:52.769749 	0.008385825157165527  	manhattan 	kmeans        	silhouette 	default   	0.3707  	310.8057 	 0.8156 	30.2761 	0.0056 	-1.0 	-1.0 	-1.0 	16:24:30:5:21:31:26:20:25:30:15:26:7:3:23:13
dataset.txt 	2025-02-11 10:06:54.489294 	0.005406860510508219  	manhattan 	kmeans        	ch_score   	default   	0.3496  	289.9283 	 0.8451 	19.7034 	0.0186 	-1.0 	-1.0 	-1.0 	54:50:36:44:62:48:21
dataset.txt 	2025-02-11 10:06:56.317298 	0.007278605302174886  	manhattan 	kmeans        	db_score   	default   	0.3667  	300.8737 	 0.7612 	26.13   	0.0127 	-1.0 	-1.0 	-1.0 	21:35:49:26:23:33:43:5:33:18:29
dataset.txt 	2025-02-11 10:06:58.899064 	0.020873618125915528  	manhattan 	kmeans        	sse        	default   	0.3984  	306.9843 	 0.8857 	10.0469 	0.0429 	-1.0 	-1.0 	-1.0 	171:144
dataset.txt 	2025-02-11 10:07:00.284378 	0.0007672349611918132 	manhattan 	agglomerative 	silhouette 	default   	0.3465  	267.8976 	 0.7525 	35.5364 	0.0052 	-1.0 	-1.0 	-1.0 	23:19:24:22:23:38:24:3:4:3:6:2:23:21:8:9:10:21:9:9:12:2
dataset.txt 	2025-02-11 10:07:01.631920 	0.0006155331929524739 	manhattan 	agglomerative 	ch_score   	default   	0.2664  	191.5251 	 1.0921 	30.0271 	0.019  	-1.0 	-1.0 	-1.0 	5:46:32:71:27:13:5:30:36:44:6
dataset.txt 	2025-02-11 10:07:03.139539 	0.0016049981117248536 	manhattan 	agglomerative 	db_score   	default   	0.3465  	267.8976 	 0.7525 	35.5364 	0.0052 	-1.0 	-1.0 	-1.0 	23:19:24:22:23:38:24:3:4:3:6:2:23:21:8:9:10:21:9:9:12:2
dataset.txt 	2025-02-11 10:07:05.437153 	0.01661349137624105   	manhattan 	agglomerative 	sse        	default   	0.2497  	212.8409 	 1.1523 	13.9415 	0.0614 	-1.0 	-1.0 	-1.0 	139:95:81
dataset.txt 	2025-02-11 10:07:32.718463 	0.32837634086608886   	manhattan 	spectral      	silhouette 	default   	0.0397  	  0.8576 	 0.9336 	 6.9671 	0.4968 	-1.0 	-1.0 	-1.0 	314:1
dataset.txt 	2025-02-11 10:08:45.447848 	1.189798903465271     	manhattan 	spectral      	ch_score   	default   	-0.5217 	  0.7088 	18.4886 	63.789  	0.0398 	-1.0 	-1.0 	-1.0 	41:13:17:2:1:2:3:1:1:2:2:3:4:4:4:1:214
dataset.txt 	2025-02-11 10:09:10.631809 	0.39618846972783406   	manhattan 	spectral      	db_score   	default   	-0.3523 	  0.4769 	 9.8178 	23.9067 	0.1924 	-1.0 	-1.0 	-1.0 	304:6:1:2:2
dataset.txt 	2025-02-11 10:09:34.530813 	0.3756294290224711    	manhattan 	spectral      	sse        	default   	-0.2553 	  0.5475 	 5.9288 	26.0737 	0.1886 	-1.0 	-1.0 	-1.0 	6:8:298:2:1
dataset.txt 	2025-02-11 10:09:36.268748 	0.005865657329559326  	cosine    	kmeans        	silhouette 	default   	0.2229  	289.9283 	 0.8451 	19.7034 	0.0186 	-1.0 	-1.0 	-1.0 	54:50:36:44:62:48:21
dataset.txt 	2025-02-11 10:09:38.035160 	0.0051988045374552405 	cosine    	kmeans        	ch_score   	default   	0.2229  	289.9283 	 0.8451 	19.7034 	0.0186 	-1.0 	-1.0 	-1.0 	54:50:36:44:62:48:21
dataset.txt 	2025-02-11 10:09:39.848022 	0.007091093063354492  	cosine    	kmeans        	db_score   	default   	0.0037  	300.8737 	 0.7612 	26.13   	0.0127 	-1.0 	-1.0 	-1.0 	21:35:49:26:23:33:43:5:33:18:29
dataset.txt 	2025-02-11 10:09:42.408722 	0.01966296831766764   	cosine    	kmeans        	sse        	default   	0.6752  	306.9843 	 0.8857 	10.0469 	0.0429 	-1.0 	-1.0 	-1.0 	171:144
dataset.txt 	2025-02-11 10:09:43.821374 	0.00078506072362264   	cosine    	agglomerative 	silhouette 	default   	0.6893  	 72.4929 	 2.2082 	46.956  	0.0076 	-1.0 	-1.0 	-1.0 	50:14:25:22:26:12:13:10:27:13:12:17:13:11:8:15:7:20
dataset.txt 	2025-02-11 10:09:45.225310 	0.0007711132367451986 	cosine    	agglomerative 	ch_score   	default   	0.6983  	 54.1784 	 2.7203 	63.7642 	0.0033 	-1.0 	-1.0 	-1.0 	13:13:17:30:14:13:8:10:27:8:7:13:8:11:16:15:7:20:20:7:7:13:9:5:4
dataset.txt 	2025-02-11 10:09:46.592544 	0.0009035627047220866 	cosine    	agglomerative 	db_score   	default   	0.618   	167.2841 	 1.2775 	18.9764 	0.0394 	-1.0 	-1.0 	-1.0 	51:103:47:41:73
dataset.txt 	2025-02-11 10:09:49.053718 	0.017810380458831786  	cosine    	agglomerative 	sse        	default   	0.6003  	262.2424 	 0.9186 	10.2563 	0.119  	-1.0 	-1.0 	-1.0 	195:120
dataset.txt 	2025-02-11 10:09:59.607545 	0.05377441247304281   	cosine    	spectral      	silhouette 	default   	-0.937  	  0.5123 	 9.942  	48.2661 	0.029  	-1.0 	-1.0 	-1.0 	147:39:11:12:1:81:1:1:1:13:3:1:1:1:1:1
dataset.txt 	2025-02-11 10:10:02.434251 	0.02378932237625122   	cosine    	spectral      	ch_score   	default   	-0.4978 	  0.3951 	29.201  	31.9029 	0.0721 	-1.0 	-1.0 	-1.0 	160:128:2:4:1:9:11
dataset.txt 	2025-02-11 10:10:05.926504 	0.033506866296132407  	cosine    	spectral      	db_score   	default   	-0.843  	  0.9622 	 9.6663 	47.5031 	0.039  	-1.0 	-1.0 	-1.0 	5:136:1:1:2:131:6:7:7:1:18
dataset.txt 	2025-02-11 10:10:09.757563 	0.04084911346435547   	cosine    	spectral      	sse        	default   	-0.0361 	  0.0701 	 9.2249 	11.4108 	0.4905 	-1.0 	-1.0 	-1.0 	312:3
dataset.txt 	2025-02-11 10:10:11.639090 	0.009051354726155598  	cityblock 	kmeans        	silhouette 	default   	0.3707  	310.8057 	 0.8156 	30.2761 	0.0056 	-1.0 	-1.0 	-1.0 	16:24:30:5:21:31:26:20:25:30:15:26:7:3:23:13
dataset.txt 	2025-02-11 10:10:13.334408 	0.005289387702941894  	cityblock 	kmeans        	ch_score   	default   	0.3496  	289.9283 	 0.8451 	19.7034 	0.0186 	-1.0 	-1.0 	-1.0 	54:50:36:44:62:48:21
dataset.txt 	2025-02-11 10:10:15.155616 	0.007620310783386231  	cityblock 	kmeans        	db_score   	default   	0.3667  	300.8737 	 0.7612 	26.13   	0.0127 	-1.0 	-1.0 	-1.0 	21:35:49:26:23:33:43:5:33:18:29
dataset.txt 	2025-02-11 10:10:17.752222 	0.020826701323191324  	cityblock 	kmeans        	sse        	default   	0.3984  	306.9843 	 0.8857 	10.0469 	0.0429 	-1.0 	-1.0 	-1.0 	171:144
dataset.txt 	2025-02-11 10:10:19.138111 	0.000803375244140625  	cityblock 	agglomerative 	silhouette 	default   	0.3465  	267.8976 	 0.7525 	35.5364 	0.0052 	-1.0 	-1.0 	-1.0 	23:19:24:22:23:38:24:3:4:3:6:2:23:21:8:9:10:21:9:9:12:2
dataset.txt 	2025-02-11 10:10:20.542481 	0.0006299058596293132 	cityblock 	agglomerative 	ch_score   	default   	0.2664  	191.5251 	 1.0921 	30.0271 	0.019  	-1.0 	-1.0 	-1.0 	5:46:32:71:27:13:5:30:36:44:6
dataset.txt 	2025-02-11 10:10:21.926860 	0.0015557964642842611 	cityblock 	agglomerative 	db_score   	default   	0.3465  	267.8976 	 0.7525 	35.5364 	0.0052 	-1.0 	-1.0 	-1.0 	23:19:24:22:23:38:24:3:4:3:6:2:23:21:8:9:10:21:9:9:12:2
dataset.txt 	2025-02-11 10:10:24.230027 	0.016836853822072347  	cityblock 	agglomerative 	sse        	default   	0.2497  	212.8409 	 1.1523 	13.9415 	0.0614 	-1.0 	-1.0 	-1.0 	139:95:81
dataset.txt 	2025-02-11 10:10:51.885455 	0.3388922174771627    	cityblock 	spectral      	silhouette 	default   	0.0397  	  0.8576 	 0.9336 	 6.9671 	0.4968 	-1.0 	-1.0 	-1.0 	314:1
