Dataset	Date	Time(min)	Distance	Algorithm	Index	Optimizer	SS	DBS	CHS	SSE	CVS	NMI	ARI	CA	Clusters
dataset.txt	2025-01-30 17:43:16.845674	0.11507187684377035	euclidean	kmeans	silhouette	default	0.107	430068482.9424	1.7794	62.318	0.046	-1.0	-1.0	-1.0	65:1:76:51:88:34
dataset.txt	2025-01-30 17:43:31.870900	0.20912888447443645	euclidean	kmeans	ch_score	default	0.0492	117955034.9067	2.2572	228.523	0.0036	-1.0	-1.0	-1.0	9:1:29:17:22:14:1:8:16:22:3:9:8:23:10:7:19:10:18:14:14:10:18:12:1
dataset.txt	2025-01-30 17:43:40.995917	0.11618719498316447	euclidean	kmeans	db_score	default	0.107	430068482.9424	1.7794	62.318	0.046	-1.0	-1.0	-1.0	65:1:76:51:88:34
dataset.txt	2025-01-30 17:43:50.939048	0.12880910634994508	euclidean	kmeans	sse	default	0.9968	1271671818.9238	0.0	16.0108	0.4968	-1.0	-1.0	-1.0	314:1
dataset.txt	2025-01-30 17:43:53.190255	0.0016148130098978678	euclidean	agglomerative	silhouette	default	0.9968	1271671818.9238	0.0	16.0108	0.4968	-1.0	-1.0	-1.0	314:1
dataset.txt	2025-01-30 17:43:55.158278	0.0017900347709655761	euclidean	agglomerative	ch_score	default	0.0457	115826685.8519	2.0387	217.2283	0.0041	-1.0	-1.0	-1.0	10:10:18:21:33:32:26:1:15:13:6:31:30:6:10:1:1:2:6:6:12:12:2:1:10
dataset.txt	2025-01-30 17:43:57.665357	0.002263371149698893	euclidean	agglomerative	db_score	default	0.107	462652255.6316	1.4836	51.4103	0.1022	-1.0	-1.0	-1.0	106:162:14:1:32
dataset.txt	2025-01-30 17:44:02.209693	0.0332181175549825	euclidean	agglomerative	sse	default	0.9968	1271671818.9238	0.0	16.0108	0.4968	-1.0	-1.0	-1.0	314:1
dataset.txt	2025-01-30 17:44:27.788159	0.2244032661120097	euclidean	spectral	silhouette	default	-0.8291	0.0118	2.4234	4908.2715	0.0321	-1.0	-1.0	-1.0	14:1:1:1:25:1:1:1:1:244:1:1:1:1:1:1:2:1:1:1:1:1:11:1
dataset.txt	2025-01-30 17:44:44.252589	0.23410521348317465	euclidean	spectral	ch_score	default	-0.9615	0.004	1.9958	3903.5966	0.1072	-1.0	-1.0	-1.0	305:1:3:1:1:1:1:1:1
dataset.txt	2025-01-30 17:45:01.814975	0.2580062945683797	euclidean	spectral	db_score	default	-0.9642	0.0032	1.9961	3869.6586	0.1079	-1.0	-1.0	-1.0	307:1:1:1:1:1:1:1:1
dataset.txt	2025-01-30 17:45:15.709129	0.19026297330856323	euclidean	spectral	sse	default	-0.9759	0.0032	1.9969	3820.0495	0.1968	-1.0	-1.0	-1.0	311:1:1:1:1
